movie_id,title,genre,year,rating,director
movie_001,Inception,Sci-Fi,2010,8.8,Christopher Nolan
movie_002,The Godfather,Crime,1972,9.2,Francis Ford Coppola
movie_003,Interstellar,Sci-Fi,2014,8.6,Christopher Nolan
movie_004,Pulp Fiction,Crime,1994,8.9,Quentin Tarantino
movie_005,The Dark Knight,Action,2008,9.0,Christopher Nolan
movie_006,Forrest Gump,Drama,1994,8.8,Robert Zemeckis
movie_007,The Matrix,Sci-Fi,1999,8.7,Lana Wachowski
movie_008,Goodfellas,Crime,1990,8.7,Martin Scorsese
movie_009,Fight Club,Drama,1999,8.8,David Fincher
movie_010,The Silence of the Lambs,Thriller,1991,8.6,Jonathan Demme
